Tile Name,Constrained Tunnel Tile Short,Constrained Tunnel Tile Tall,Tunnel Bend Right,Tunnel Corner Left,Tunnel Elevation,Tunnel Intersection,Tunnel Intersection T,Tunnel Straight,subt_tunnel_staging_area,Tunnel Tile 1,Tunnel Tile 2,Tunnel Tile 3,Tunnel Tile 4,Tunnel Tile 5,Tunnel Tile 6,Tunnel Tile 7,Tunnel Tile 8,Tunnel Tile Blocker,Rough Tunnel Tile 90-degree Turn,Rough Tunnel Tile Ramp,Rough Tunnel Tile Straight,Rough Tunnel Tile Vertical Shaft,Rough Tunnel Tile 4-way Intersection,Urban Straight,Urban Straight Lights,Urban Bend Right,Urban Bend Left,Urban Bend Left Lights,Urban Superpose,Urban 3-Way Right Intersection,Urban Elevation Up,Urban Elevation Up Lights,Urban Elevation Down,Urban Station,Urban Straight Door Right,Urban Straight Door Left,Urban Straight Door Right Flipped,Urban Straight Door Right Flipped Lights,Urban Straight Door Left Flipped,Urban Straight Door Right Extension,Urban Straight Door Right Extension Lights,Urban Stairwell Straight,Urban Platform,Urban Platform Open,Urban Service Room Centered,Urban Service Room Centered Lights,Urban Service Room,Urban Service Room Lights,Urban Service Room Straight,Urban Service Room Straight Lights,Urban Stairwell Platform,Urban Stairwell Platform Lights,Urban Stairwell Platform Centered,Urban Stairwell Platform Centered Lights,Urban Starting Area,Urban 2 Story,Urban 2 Story Lights,Urban 2 Story Large Side 1,Urban 2 Story Large Side 2,Urban 2 Story Large Side 1 Lights,Urban 2 Story Large Side 2 Lights,Urban Large Room Split,Urban Large Room Split Lights,Cave Staging Area,Cave Straight 01 Type B,Cave Straight 01 Lights Type B,Cave Straight 02 Type B,Cave Straight 02 Lights Type B,Cave Straight 03 Type B,Cave Straight 04 Type B,Cave Straight 04 Lights Type B,Cave Straight 05 Type B,Cave Straight 05 Lights Type B,Cave Corner 01 Type B,Cave Corner 01 Lights Type B,Cave Corner 02 Type B,Cave Corner 02 Lights Type B,Cave 3 Way 01 Type B,Cave 3 Way 01 Lights Type B,Cave Elevation Type B,Cave Elevation Lights Type B,Cave Vertical Shaft Type B,Cave Vertical Shaft Lights Type B,Cave Cavern Split 01 Type B,Cave Cavern Split 02 Type B,Cave Corner 30 Type B,Cave Corner 30F Type B,Cave Corner 30 D Type B,Cave Corner 30 D Lights Type B,Cave Corner 30F D Type B,Cave Corner 30F D Lights Type B,Cave 2 Way 01 Type A,Cave 3 Way 01 Type A,Cave 3 Way 02 Type A,Cave 3 Way Elevation 01 Type A,Cave 3 Way Elevation 02 Type A,Cave 3 Way Elevation 03 Type A,Cave 4 Way 01 Type A,Cave Cavern Type A,Cave Corner 01 Type A,Cave Corner 02 Type A,Cave Corner 03 Type A,Cave Corner 04 Type A,Cave Cap Type A,Cave Elevation 01 Type A,Cave Elevation 02 Type A,Cave Elevation Corner Type A,Cave Elevation Straight Type A,Cave Split Type A,Cave Straight Shift Type A,Cave Straight Type A,Cave U Turn 01 Type A,Cave U Turn Elevation Type A,Cave Vertical Shaft Straight Bottom Type A,Cave Vertical Shaft Straight Top Type A,Cave Vertical Shaft Type A,Cave Vertical Shaft Dead End Type A,Cave 3 Way Elevation 02 Lights Type A,Cave 4 Way 01 Lights Type A,Cave Corner 01 Lights Type A,Cave Corner 02 Lights Type A,Cave Corner 04 Lights Type A,Cave Elevation Straight Lights Type A,Cave Straight Lights Type A,Cave U Turn Elevation Lights Type A,Cave Veritcal Shaft Straight Bottom Lights Type A,Cave Transition Type A to and from Type B,Cave Transition Type A to and from Type B Lights,Jenolan Section 01,Jenolan Section 02,Jenolan Section 03,Jenolan Section 04,Jenolan Section 05,Jenolan Section 06,Jenolan Section 07,Jenolan Section 08,Jenolan Section 09,Jenolan Section 10,Jenolan Section 11,4-Way Finals Transition,4-Way Finals Transition 2,Universal Shift 2.5X2.5,Universal Shift 5X5,Universal Straight 5,Universal Straight 10,Urban Tunnel Transition,Urban Tunnel Transition 2,Urban Tunnel Transition Straight,Urban Cave Transition,Urban Cave Transition 2,Urban Cave Transition Straight,Cave Tunnel Transition,Finals Starting Area,Cave Cap Type B,Cave Tile Blocker,NIOSH EX Course Shell,NIOSH SR Course Shell,NIOSH EX Section 06,NIOSH EX Section 05,NIOSH EX Section 04,NIOSH EX Section 03,NIOSH EX Section 02,NIOSH EX Section 01,NIOSH SR Section 11,NIOSH SR Section 10,NIOSH SR Section 09,NIOSH SR Section 08,NIOSH SR Section 07,NIOSH SR Section 06,NIOSH SR Section 05,NIOSH SR Section 04,NIOSH SR Section 03,NIOSH SR Section 02,NIOSH SR Section 01
Constrained Tunnel Tile Short,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Constrained Tunnel Tile Tall,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunnel Bend Right,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunnel Corner Left,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunnel Elevation,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunnel Intersection,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunnel Intersection T,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunnel Straight,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
subt_tunnel_staging_area,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunnel Tile 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
